"ACP.spec_early","ACP.spec_late","Echo1_early","Echo1_late","Echo2_early","Echo2_late","NACP.spec_early","NACP.spec_late"
"AT1G78860","AT1G61660","AT2G36470","AT5G01550","AT2G26170","AT2G01650","AT1G78940","AT5G47860"
"AT1G15530","AT1G02270","AT1G58300","AT1G52200","AT3G60120","AT5G63680","AT4G36700","AT2G22570"
"AT2G26190","AT1G74750","AT1G08630","AT1G21740","AT5G56510","AT3G61198","AT1G66280","AT2G29070"
"AT3G02550","AT5G27450","AT5G01830","AT2G38340","AT1G35710","AT1G10865","AT2G36780","AT1G68650"
"AT1G66080","AT3G01820","AT5G40000","AT1G17480","AT1G24147","AT4G11840","AT4G04710","AT3G05970"
"AT1G07350","AT2G25240","AT1G16130","AT2G17290","AT1G03230","AT4G20110","AT5G56060","AT2G21187"
"AT2G44578","AT4G01870","AT1G08315","AT3G05710","AT3G51860","AT1G14170","AT1G09500","AT5G19875"
"AT4G16950","AT5G41730","AT5G02290","AT5G03890","AT1G74330","AT5G63030","AT3G11480","AT4G01610"
"AT5G03870","AT4G15200","AT4G39950","AT3G46230","AT5G25050","AT3G24503","AT5G22860","AT5G15860"
"AT5G37420","AT1G22885","AT2G20960","AT2G46500","AT3G59080","AT2G01540","AT3G57010","AT5G26700"
"AT4G15236","AT1G07240","AT1G03770","AT4G33920","AT2G39660","AT2G37440","AT2G28510","AT3G15536"
"AT3G44260","AT1G59740","AT3G53990","AT5G25940","AT5G46710","AT3G14130","AT4G37180","AT1G73650"
"AT1G14040","AT2G47730","AT3G51920","AT5G25930","AT3G57630","AT2G21350","AT2G37870","AT5G01300"
"AT4G38552","AT1G30040","AT4G12040","AT5G63490","AT1G66920","AT5G58940","AT3G03640","AT3G57260"
"AT2G41890","AT1G10280","AT1G74100","AT5G51830","AT2G02220","AT3G51330","AT3G48770","AT1G60830"
"AT1G21010","AT4G17615","AT4G32020","AT1G01340","AT2G29350","AT1G72680","AT4G39190","AT5G13580"
"AT4G30370","AT5G66620","AT1G03730","AT3G25610","AT2G19710","AT1G21310","AT2G40880","AT1G66960"
"AT4G38530","AT1G01690","AT3G21150","AT1G61260","AT5G01540","AT1G34180","AT2G22850","AT4G33360"
"AT2G03540","AT3G52520","AT2G02860","AT1G12760","AT4G15530","AT2G05840","AT5G02020","AT1G09400"
"AT2G47060","AT1G08860","AT4G38550","AT5G09470","AT2G16870","AT5G25820","AT1G74640","AT1G13830"
"AT3G14200","AT1G11100","AT2G44490","AT1G05880","AT3G15760","AT1G20200","AT3G11900","AT4G16690"
"AT1G64710","AT5G66070","AT1G03740","AT1G17830","AT1G51620","AT1G14080","AT1G49900","AT1G23010"
"AT1G21130","AT4G12400","AT1G03495","AT1G76040","AT4G01910","AT3G14430","AT5G42250","AT2G40950"
"AT4G37290","AT1G07400","AT1G56510","AT2G44280","AT1G15010","AT2G27260","AT5G46871","AT3G47810"
"AT5G60350","AT5G03210","AT5G56010","AT2G36580","AT1G62300","AT3G09810","AT5G07010","AT2G25090"
"AT5G56580","AT5G02430","AT5G46470","AT2G21470","AT1G56150","AT3G50650","AT5G10410","AT1G26200"
"AT1G25275","AT3G12580","AT2G46330","AT2G17220","AT5G57010","AT1G76760","AT3G14560","AT5G35080"
"AT5G66900","AT2G46140","AT1G32530","AT1G30100","AT5G40880","AT5G03460","AT1G06570","AT1G65500"
"AT1G63820","AT2G47490","AT1G55450","AT4G23210","AT2G40750","AT5G12890","AT3G10420","AT4G05160"
"AT3G48100","AT1G16520","AT5G44060","AT1G32960","AT1G80300","AT5G47580","AT4G27260","AT1G16510"
"AT2G16500","AT2G46240","AT1G56540","AT5G17060","AT3G50770","AT1G01010","AT4G25000","AT3G56950"
"AT3G22890","AT1G05820","AT3G53260","AT4G40020","AT1G65520","AT1G69610","AT4G36430","AT5G04830"
"AT4G36500","AT4G33925","AT1G61470","AT3G18440","AT2G34610","AT2G02360","AT4G16000","AT2G18950"
"AT4G28350","AT4G39020","AT1G72910","AT5G24810","AT1G62730","AT2G31350","AT4G36040","AT5G61250"
"AT3G04210","AT1G27720","AT4G16860","AT1G25220","AT5G01820","AT1G61490","AT4G23630","AT2G24180"
"AT1G07520","AT3G06370","AT1G56520","AT1G07030","AT5G39660","AT3G47050","AT3G47340","AT5G10760"
"AT5G65630","AT5G67350","AT3G44630","AT1G76970","AT1G64400","AT1G75000","AT5G48020","AT1G27450"
"AT3G10985","AT3G48780","AT1G13210","AT3G50910","AT1G51790","AT1G79450","AT1G77145","AT5G60440"
"AT4G11660","AT4G21865","AT4G16820","AT4G35590","AT3G14620","AT1G17890","AT1G02430","AT3G07520"
"AT2G34650","AT4G37020","AT4G11000","AT2G41440","AT5G47220","AT4G38260","AT5G45510","AT3G22560"
"AT1G59865","AT1G72670","AT5G09876","AT5G67080","AT4G23610","AT1G09740","AT5G62820","AT1G65730"
"AT1G04100","AT1G17060","AT3G56880","AT5G61010","AT4G25900","AT4G13615","AT4G04695","AT4G28060"
"AT1G21070","AT2G29410","AT5G01950","AT1G20510","AT3G56400","AT4G29960","AT2G34940","AT5G34940"
"AT4G40080","AT2G28570","AT3G57640","AT5G57480","AT1G47480","AT5G09290","AT5G19930","AT4G39955"
"AT2G32240","AT5G60930","AT3G25510","AT3G17800","AT3G52480","AT3G55890","AT5G54610","AT3G16565"
"AT2G41880","AT3G21560","AT5G48530","AT3G60800","AT1G77660","AT3G55500","AT5G10870","AT1G24575"
"AT1G77390","AT1G11800","AT5G04340","AT2G04450","AT5G53400","AT5G40720","AT4G22920","AT5G47180"
"AT2G31270","AT4G37370","AT4G23200","AT1G19360","AT3G22400","AT3G51440","AT3G14280","AT4G02280"
"AT5G52740","AT5G64660","AT3G16720","AT4G27500","AT1G71170","AT3G60961","AT1G12940","AT5G16450"
"AT2G41640","AT4G30350","AT3G09520","AT4G35600","AT1G05170","AT5G14230","AT5G27920","AT1G68940"
"AT4G16890","AT5G59820","AT3G20410","AT2G42890","AT5G61430","AT4G22305","AT4G27740","AT3G03480"
"AT5G10830","AT1G10040","AT5G38310","AT1G13540","AT4G01070","AT3G27380","AT4G21800","AT1G48210"
"AT5G58430","AT4G20380","AT4G23030","AT5G64890","AT1G09080","AT3G11230","AT5G53870","AT3G12500"
"AT2G28080","AT2G45770","AT5G48655","AT4G18890","AT3G56440","AT5G18310","AT3G62780","AT3G61280"
"AT5G66480","AT3G49540","AT4G38940","AT2G26400","AT2G32830","AT5G39950","AT1G59640","AT3G27210"
"AT5G65610","AT2G45300","AT4G16960","AT5G23850","AT4G26070","AT4G21980","AT5G02590","AT1G57570"
"AT5G03990","AT5G14760","AT3G50760","AT2G17705","AT4G21500","AT1G04990","AT2G34840","AT4G22680"
"AT5G23510","AT1G25550","AT4G19520","AT2G26300","AT4G00955","AT1G08830","AT4G30870","AT5G07680"
"AT5G20350","AT5G54650","AT4G11280","AT3G19260","AT1G67970","AT3G04090","AT1G21000","AT1G13970"
"AT2G01180","AT2G29500","AT3G23240","AT1G72750","AT3G57700","AT1G53750","AT3G16990","AT3G60160"
"AT1G13110","AT2G16900","AT2G48010","AT1G09935","AT2G44910","AT2G21620","AT3G17000","AT2G44240"
"AT1G32928","AT5G43650","AT1G08930","AT3G05050","AT5G42440","AT3G28540","AT1G18940","AT1G09420"
"AT5G56030","AT2G14290","AT1G72240","AT3G59150","AT1G06002","AT5G37740","AT5G05460","AT5G40230"
"AT1G32920","AT5G35735","AT1G67470","AT3G47090","AT3G51350","AT5G40990","AT4G22670","AT4G29210"
"AT4G29050","AT5G24760","AT4G39640","AT3G11220","AT2G38940","AT2G43080","AT1G03210","AT1G65510"
"AT5G55970","AT4G27950","AT3G23250","AT4G20860","AT5G10380","AT3G09960","AT2G33150","AT5G65090"
"AT2G26150","AT2G28210","AT4G23190","AT1G57630","AT1G12420","AT4G28490","AT3G01080","AT5G01600"
"AT1G63750","AT1G54960","AT2G20142","AT4G12790","AT1G66725","AT4G34050","AT5G64370","AT3G09220"
"AT1G18900","AT4G37030","AT3G45638","AT3G50480","AT4G13040","AT4G28570","AT3G51960","AT2G39420"
"AT1G71000","AT2G15480","AT1G66173","AT3G44550","AT4G14147","AT3G01800","AT4G31230","AT4G14020"
"AT1G01940","AT1G68390","AT3G46600","AT1G29630","AT5G51740","AT1G08450","AT2G21850","AT3G45130"
"AT2G41010","AT4G21400","AT4G26400","AT2G46510","AT2G39220","AT4G19045","AT3G51360","AT4G28040"
"AT1G09940","AT2G37980","AT3G02610","AT5G67340","AT3G60190","AT3G50400","AT5G10610","AT5G62680"
"AT4G11370","AT3G16220","AT2G21120","AT1G80840","AT1G67650","AT4G03080","AT5G47140","AT5G43580"
"AT3G01430","AT1G76130","AT2G32130","AT3G26670","AT1G11310","AT4G39390","AT3G56500","AT3G03890"
"AT3G10540","AT4G14970","AT1G16420","AT1G29150","AT4G15070","AT1G75510","AT5G64190","AT1G22990"
"AT5G05410","AT3G02040","AT2G15042","AT2G36630","AT1G23090","AT2G04620","AT5G10740","AT2G43510"
"AT1G23710","AT2G18193","AT5G57500","AT1G61150","AT1G32330","AT4G29040","AT4G37150","AT4G23680"
"AT1G51670","AT1G33110","AT1G51660","AT3G09840","AT4G01920","AT3G45410","AT1G03340","AT4G35170"
"AT4G00940","AT1G20930","AT2G20150","AT5G14420","AT2G29990","AT5G42790","AT3G47530","AT1G10540"
"AT1G51270","AT4G13370","AT5G41100","AT5G50200","AT2G43570","AT1G21390","AT1G16530","AT2G03850"
"AT1G07130","AT4G11080","AT1G70740","AT5G20910","AT1G64460","AT3G25010","AT5G07780","AT5G20940"
"AT5G36260","AT3G14660","AT5G41550","AT2G46940","AT1G07620","AT1G16500","AT1G64950","AT4G32810"
"AT2G38790","AT5G20150","AT3G26020","AT1G05785","AT3G04060","AT5G53820","AT5G18362","AT3G53040"
"AT3G21700","AT5G01490","AT4G38560","AT4G11860","AT4G13890","AT3G06300","AT3G12700","AT2G41850"
"AT3G26980","AT5G57510","AT3G53810","AT1G09815","AT2G37710","AT3G61960","AT4G05590","AT1G18720"
"AT1G47210","AT2G04650","AT4G18950","AT4G27745","AT5G22545","AT5G42300","AT1G18260","AT2G06255"
"AT1G59860","AT2G29420","AT2G21460","AT1G78200","AT1G34750","AT1G65820","AT3G51540","AT4G27860"
"AT5G02500","AT1G32350","AT5G41740","AT1G76620","AT2G47800","AT3G51450","AT1G14010","AT1G15380"
"AT3G05320","AT1G78710","AT4G36550","AT1G18210","AT5G24210","AT3G13090","AT3G27890","AT5G06730"
"AT5G46780","AT2G30400","AT4G08770","AT4G11340","AT4G02220","AT1G48605","AT4G19645","AT5G06720"
"AT3G09350","AT2G02320","AT3G54150","AT4G22980","AT1G29300","AT5G10400","AT5G11110","AT5G62900"
"AT2G21790","AT5G55200","AT4G30850","AT4G00500","AT3G25870","AT2G38690","AT2G42790","AT3G60140"
"AT5G02320","AT1G77760","AT1G63350","AT2G39518","AT2G18000","AT2G16595","AT1G76960","AT3G11430"
"AT1G74310","AT4G21830","AT3G46620","AT4G31860","AT5G20480","AT2G02390","AT3G20960","AT2G37580"
"AT3G25230","AT3G60260","AT3G25600","AT1G52315","AT1G49050","AT3G44326","AT2G43620","AT4G36110"
"AT4G00850","AT1G13480","AT4G37640","AT3G47420","AT5G16230","AT1G05710","AT3G51000","AT1G61110"
"AT1G30814","AT4G34210","AT4G14370","AT4G39890","AT1G17745","AT4G30190","AT3G44880","AT5G10300"
"AT5G01970","AT1G24600","AT3G44480","AT1G77500","AT4G30230","AT1G79610","AT5G10600","AT1G71110"
"AT2G37890","AT3G13520","AT1G14370","AT3G03320","AT4G17670","AT5G55400","AT4G10500","AT3G17520"
"AT5G13100","AT1G52565","AT4G25030","AT4G13180","AT1G70810","AT5G03020","AT3G28950","AT4G11650"
"AT2G47140","AT1G76490","AT3G08720","AT1G62840","AT5G01610","AT5G26660","AT4G18580","AT5G13170"
"AT5G48570","AT5G02170","AT2G44500","AT3G29240","AT4G30640","AT1G56450","AT2G41220","AT3G52820"
"AT5G17350","AT1G76470","AT1G21550","AT1G19270","AT2G04100","AT3G09490","AT2G29950","AT5G53320"
"AT4G23550","AT1G62320","AT4G11170","AT3G26840","AT3G26170","AT1G31885",NA,NA
"AT4G29440","AT4G01850","AT1G14200","AT1G27110","AT2G46270","AT4G14420",NA,NA
"AT2G38360","AT1G03990","AT5G46910","AT1G35670","AT4G23450","AT5G06610",NA,NA
NA,NA,"AT3G21781","AT3G14460","AT3G23530","AT5G25770",NA,NA
NA,NA,"AT1G59870","AT5G54100","AT1G02230","AT2G33490",NA,NA
NA,NA,"AT5G66600","AT4G23280","AT2G26390","AT2G37750",NA,NA
NA,NA,"AT1G76700","AT2G18690","AT4G35230","AT3G43510",NA,NA
NA,NA,"AT3G44720","AT1G24095","AT2G04350","AT1G05000",NA,NA
NA,NA,"AT1G69840","AT3G22370","AT1G56145","AT4G34230",NA,NA
NA,NA,"AT5G47850","AT3G08990","AT3G05830","AT5G05600",NA,NA
NA,NA,"AT1G61215","AT1G63245","AT4G21610","AT1G18910",NA,NA
NA,NA,"AT1G66250","AT1G61610","AT5G63225","AT2G33080",NA,NA
NA,NA,"AT1G30420","AT2G30550","AT4G08230","AT1G55210",NA,NA
NA,NA,"AT2G35658","AT2G42350","AT4G36648","AT2G17200",NA,NA
NA,NA,"AT4G16600","AT1G13310","AT1G48370","AT1G66870",NA,NA
NA,NA,"AT5G01100","AT4G01750","AT4G23160","AT1G07900",NA,NA
NA,NA,"AT4G33050","AT1G18390","AT4G00240","AT2G28710",NA,NA
NA,NA,"AT1G57990","AT3G06890","AT5G23160","AT5G40690",NA,NA
NA,NA,"AT2G32140","AT4G15420","AT1G53830","AT5G38030",NA,NA
NA,NA,"AT3G49530","AT2G25735","AT1G26690","AT4G04220",NA,NA
NA,NA,"AT4G12720","AT1G66580","AT5G19980","AT2G26440",NA,NA
NA,NA,"AT1G01560","AT2G29400","AT2G06050","AT3G07600",NA,NA
NA,NA,"AT3G18690","AT1G28190","AT1G29060","AT5G06750",NA,NA
NA,NA,"AT4G12710","AT4G25230","AT1G19300","AT2G22480",NA,NA
NA,NA,"AT3G09032","AT3G43210","AT1G75170","AT5G18780",NA,NA
NA,NA,"AT1G51820","AT1G17330","AT1G73010","AT5G58540",NA,NA
NA,NA,"AT4G09030","AT3G51890","AT4G31800","AT1G78190",NA,NA
NA,NA,"AT1G33420","AT1G72770","AT5G64400","AT2G32680",NA,NA
NA,NA,"AT4G08780","AT1G06870","AT4G32870","AT4G37520",NA,NA
NA,NA,"AT1G29690","AT1G66600","AT2G27660","AT3G11010",NA,NA
NA,NA,"AT2G32930","AT4G11470","AT5G40780","AT5G07610",NA,NA
NA,NA,"AT4G10040","AT3G12620","AT5G26690","AT1G02310",NA,NA
NA,NA,"AT3G04220","AT1G19180","AT1G21520","AT3G49120",NA,NA
NA,NA,"AT5G52760","AT4G19970","AT3G17240","AT4G35630",NA,NA
NA,NA,"AT4G34390","AT1G61820","AT1G72280","AT5G17990",NA,NA
NA,NA,"AT3G54810","AT3G59660","AT5G55460","AT3G29250",NA,NA
NA,NA,"AT1G28380","AT5G24910","AT5G64780","AT5G21900",NA,NA
NA,NA,"AT3G57330","AT5G56970","AT5G58350","AT4G18980",NA,NA
NA,NA,"AT1G17590","AT4G23150","AT3G14060","AT5G41860",NA,NA
NA,NA,"AT2G40740","AT5G22350","AT1G35580","AT5G05340",NA,NA
NA,NA,"AT1G22650","AT2G13650","AT1G76590","AT5G65110",NA,NA
NA,NA,"AT4G14365","AT1G61667","AT4G23170","AT5G33290",NA,NA
NA,NA,"AT1G79680","AT3G49160","AT1G56550","AT5G53120",NA,NA
NA,NA,"AT2G23810","AT5G24205","AT5G09420","AT3G19270",NA,NA
NA,NA,"AT5G26751","AT3G29034","AT2G18660","AT3G61890",NA,NA
NA,NA,"AT1G20310","AT5G12340","AT5G16080","AT1G79270",NA,NA
NA,NA,"AT1G70530","AT2G30070","AT2G45010","AT3G53780",NA,NA
NA,NA,"AT4G24160","AT5G15130","AT4G00550","AT1G18200",NA,NA
NA,NA,"AT1G24145","AT4G23470","AT4G38790","AT1G69810",NA,NA
NA,NA,"AT4G25390","AT3G26500","AT4G33100","AT2G39970",NA,NA
NA,NA,"AT3G19010","AT2G02340","AT5G47420","AT5G50350",NA,NA
NA,NA,"AT5G09800","AT5G24206","AT3G60540","AT5G53330",NA,NA
NA,NA,"AT2G23320","AT5G22780","AT3G02520","AT3G04070",NA,NA
