"ACP.spec_early","ACP.spec_late","Echo1_early","Echo1_late","Echo2_early","Echo2_late","NACP.spec_early","NACP.spec_late"
NA,NA,"AT4G30430","AT3G10500","AT5G21090","AT1G53030",NA,NA
NA,NA,"AT2G41100","AT1G32340","AT5G45000","AT4G16210",NA,NA
NA,NA,"AT1G27770","AT1G12320","AT5G65140","AT5G64430",NA,NA
NA,NA,"AT4G08555","AT5G19230","AT2G43150","AT1G16470",NA,NA
NA,NA,"AT4G23570","AT4G34135","AT3G24900","AT2G35070",NA,NA
NA,NA,"AT1G26800","AT3G01760","AT4G13000","AT1G64060",NA,NA
NA,NA,"AT3G21140","AT1G67070","AT2G17760","AT1G59710",NA,NA
NA,NA,"AT1G74360","AT5G02780","AT1G15790","AT5G45550",NA,NA
NA,NA,"AT3G28850","AT3G60450","AT5G49570","AT5G63970",NA,NA
NA,NA,"AT3G52400","AT4G04920","AT4G26270","AT3G59880",NA,NA
NA,NA,"AT5G24590","AT3G56470","AT3G13235","AT3G20630",NA,NA
NA,NA,"AT1G76070","AT2G27200","AT5G47120","AT4G03540",NA,NA
NA,NA,"AT1G55530","AT2G21500","AT1G17860","AT5G55050",NA,NA
NA,NA,"AT4G17250","AT5G41940","AT1G07630","AT2G23170",NA,NA
NA,NA,"AT2G23270","AT4G37900","AT1G13990","AT3G56170",NA,NA
NA,NA,"AT1G61360","AT4G05020","AT1G22070","AT5G11520",NA,NA
NA,NA,"AT2G04495","AT1G14870","AT4G30490","AT4G02330",NA,NA
NA,NA,"AT4G18250","AT3G53150","AT3G52190","AT5G48180",NA,NA
NA,NA,"AT3G04710","AT2G17720","AT4G32040","AT4G01700",NA,NA
NA,NA,"AT1G72950","AT1G28480","AT5G06960","AT1G25500",NA,NA
NA,NA,"AT4G22780","AT5G06320","AT5G39090","AT4G14640",NA,NA
NA,NA,"AT5G66640","AT1G18890","AT5G52580","AT4G14800",NA,NA
NA,NA,"AT5G64870","AT1G69790","AT5G55850","AT4G36710",NA,NA
NA,NA,"AT3G15518","AT3G59690","AT1G17080","AT1G23040",NA,NA
NA,NA,"AT5G46520","AT2G45170","AT4G36090","AT4G21580",NA,NA
NA,NA,"AT2G23680","AT4G26470","AT4G05050","AT3G46440",NA,NA
NA,NA,"AT3G09440","AT1G69900","AT4G11670","AT3G51250",NA,NA
NA,NA,"AT2G22500","AT5G59890","AT2G28160","AT5G63990",NA,NA
NA,NA,"AT3G47820","AT1G77450","AT2G17120","AT4G27830",NA,NA
NA,NA,"AT1G30755","AT5G26170","AT2G33580","AT1G71910",NA,NA
NA,NA,"AT1G16090","AT2G31865","AT1G27330","AT2G17840",NA,NA
NA,NA,"AT5G65600","AT1G25370","AT1G68820","AT1G02580",NA,NA
NA,NA,"AT3G55470","AT4G12120","AT1G12210","AT4G01430",NA,NA
NA,NA,"AT5G25250","AT5G56630","AT1G71040","AT4G36210",NA,NA
NA,NA,"AT3G59700","AT1G70690","AT4G25070","AT3G21500",NA,NA
NA,NA,"AT1G67060","AT1G51850","AT4G18990","AT4G15010",NA,NA
NA,NA,"AT2G26560","AT5G48657","AT5G53370","AT2G16700",NA,NA
NA,NA,"AT3G47550","AT5G62150","AT1G03290","AT3G12100",NA,NA
NA,NA,"AT5G52730","AT3G13310","AT4G38830","AT4G15955",NA,NA
NA,NA,"AT5G41170","AT4G28085","AT1G23840","AT3G17810",NA,NA
NA,NA,"AT4G18880","AT4G00330","AT5G45500","AT1G74140",NA,NA
NA,NA,"AT3G12830","AT1G61120","AT3G20250","AT5G09520",NA,NA
NA,NA,"AT3G16030","AT3G54420","AT1G23440","AT5G66690",NA,NA
NA,NA,"AT5G45630","AT5G46960","AT5G58290","AT1G76150",NA,NA
NA,NA,"AT5G18470","AT2G23830","AT3G11040","AT4G36760",NA,NA
NA,NA,"AT4G04510","AT5G03610","AT5G16880","AT4G19700",NA,NA
NA,NA,"AT4G01010","AT3G22600","AT2G03450","AT3G11570",NA,NA
NA,NA,"AT5G22530","AT1G78280","AT2G26480","AT3G47040",NA,NA
NA,NA,"AT3G52870","AT1G08940","AT1G78780","AT1G60890",NA,NA
NA,NA,"AT5G09590","AT5G05190","AT1G19490","AT1G26930",NA,NA
NA,NA,"AT5G03320","AT3G45040","AT1G33950","AT4G30460",NA,NA
NA,NA,"AT4G23310","AT1G61560","AT4G26060","AT1G22930",NA,NA
NA,NA,"AT1G61380","AT3G13380","AT1G66880","AT3G48580",NA,NA
NA,NA,"AT5G44585","AT2G24360","AT5G03905","AT1G05620",NA,NA
NA,NA,"AT5G08335","AT5G15640","AT5G61060","AT4G18360",NA,NA
NA,NA,"AT1G33720","AT5G54500","AT5G51570","AT1G62370",NA,NA
NA,NA,"AT5G13190","AT1G51760","AT5G38250","AT1G04500",NA,NA
NA,NA,"AT5G12930","AT2G47820","AT2G19570","AT3G11600",NA,NA
NA,NA,"AT5G62540","AT4G13820","AT5G37480","AT1G21400",NA,NA
NA,NA,"AT5G66658","AT4G22070","AT3G11270","AT1G27980",NA,NA
NA,NA,"AT3G24500","AT2G39530","AT1G75990","AT1G05570",NA,NA
NA,NA,"AT1G31010","AT1G59820","AT4G29810","AT1G62790",NA,NA
NA,NA,"AT1G10230","AT1G22280","AT5G27830","AT1G12000",NA,NA
NA,NA,"AT5G58120","AT3G10800","AT5G60300","AT5G66760",NA,NA
NA,NA,"AT1G59590","AT3G04670","AT2G44180","AT3G51430",NA,NA
NA,NA,"AT2G20780","AT5G38210","AT5G46230","AT1G79400",NA,NA
NA,NA,"AT2G25440","AT4G01895","AT1G32230","AT5G24090",NA,NA
NA,NA,"AT3G12740","AT1G62305","AT5G18350","AT5G46050",NA,NA
NA,NA,"AT4G04540","AT5G20000","AT2G26600","AT3G05660",NA,NA
NA,NA,"AT3G09405","AT4G23010","AT3G11080","AT5G46180",NA,NA
NA,NA,"AT2G42950","AT3G11880","AT3G54030","AT4G17830",NA,NA
NA,NA,"AT2G04070","AT4G14450","AT1G69920","AT5G07360",NA,NA
NA,NA,"AT1G64280","AT5G45090","AT1G67520","AT1G30220",NA,NA
NA,NA,"AT5G39020","AT1G05340","AT4G24920","AT3G06810",NA,NA
NA,NA,"AT4G02380","AT5G10840","AT4G11740","AT1G02470",NA,NA
NA,NA,"AT5G53830","AT4G26910","AT2G45500","AT3G06860",NA,NA
NA,NA,"AT3G12050","AT5G48380","AT5G55130","AT1G17020",NA,NA
NA,NA,"AT1G32120","AT5G08630","AT4G16110","AT1G79900",NA,NA
NA,NA,"AT3G10815","AT4G35500","AT2G05320","AT4G37430",NA,NA
NA,NA,"AT4G17230","AT3G58600","AT1G55610","AT3G53980",NA,NA
NA,NA,"AT3G28340","AT3G52460","AT5G56230","AT2G04160",NA,NA
NA,NA,"AT1G29340","AT4G13920","AT5G54140","AT1G18860",NA,NA
NA,NA,"AT5G27760","AT3G60966","AT3G08690","AT2G28500",NA,NA
NA,NA,"AT3G16050","AT5G26340","AT5G44460","AT3G01420",NA,NA
NA,NA,"AT2G06530","AT2G27310","AT2G34250","AT5G64000",NA,NA
NA,NA,"AT5G38344","AT5G56350","AT1G30640","AT4G11910",NA,NA
NA,NA,"AT5G04410","AT5G42010","AT1G72330","AT1G52690",NA,NA
NA,NA,"AT4G04490","AT2G41660","AT2G17420","AT1G60610",NA,NA
NA,NA,"AT5G60800","AT1G78380","AT1G14880","AT5G40240",NA,NA
NA,NA,"AT5G52640","AT3G52930","AT1G68300","AT5G09530",NA,NA
NA,NA,"AT3G05200","AT1G76640","AT3G59570","AT2G24040",NA,NA
NA,NA,"AT1G51640","AT2G25460","AT1G51860","AT2G40370",NA,NA
NA,NA,"AT3G09000","AT2G28890","AT3G26440","AT4G33150",NA,NA
NA,NA,"AT1G74710","AT1G51890","AT4G15417","AT5G43780",NA,NA
NA,NA,"AT4G39030","AT3G49370","AT2G39270","AT4G09750",NA,NA
NA,NA,"AT3G07090","AT5G18110","AT4G09770","AT5G56180",NA,NA
NA,NA,"AT3G10820","AT3G61390","AT1G01640","AT1G61080",NA,NA
NA,NA,"AT1G67810","AT5G54110","AT2G12550","AT3G08040",NA,NA
NA,NA,"AT1G67000","AT2G43000","AT1G30900","AT1G48000",NA,NA
NA,NA,"AT3G21230","AT3G47800","AT3G02230","AT5G46130",NA,NA
NA,NA,"AT3G51160","AT3G62590","AT4G33300","AT5G66400",NA,NA
NA,NA,"AT5G35320","AT3G11330","AT1G80460","AT5G37540",NA,NA
NA,NA,"AT3G44110","AT5G48410","AT1G08650","AT5G45800",NA,NA
NA,NA,"AT4G23320","AT3G54620","AT5G02100","AT2G42560",NA,NA
NA,NA,"AT3G57950","AT1G04810","AT4G23885","AT3G45290",NA,NA
NA,NA,"AT5G16170","AT5G47050","AT3G04181","AT3G17820",NA,NA
NA,NA,"AT3G25070","AT5G35580","AT5G23540","AT4G10860",NA,NA
NA,NA,"AT1G70170","AT1G12360",NA,"AT3G26220",NA,NA
NA,NA,"AT5G54850","AT2G45220",NA,NA,NA,NA
NA,NA,"AT4G17500","AT1G57650",NA,NA,NA,NA
NA,NA,"AT5G38895","AT1G30850",NA,NA,NA,NA
NA,NA,"AT4G35310","AT5G45480",NA,NA,NA,NA
NA,NA,"AT1G79920","AT4G19006",NA,NA,NA,NA
NA,NA,"AT1G29290","AT1G17500",NA,NA,NA,NA
NA,NA,"AT1G30620","AT3G48890",NA,NA,NA,NA
NA,NA,"AT3G52430","AT1G05350",NA,NA,NA,NA
NA,NA,"AT2G45760","AT3G13782",NA,NA,NA,NA
NA,NA,"AT3G13100","AT1G10140",NA,NA,NA,NA
NA,NA,"AT3G63310","AT3G51660",NA,NA,NA,NA
NA,NA,"AT3G50470","AT1G55790",NA,NA,NA,NA
NA,NA,"AT1G13340","AT1G14330",NA,NA,NA,NA
NA,NA,"AT1G73805","AT5G52800",NA,NA,NA,NA
NA,NA,"AT1G23200","AT4G11890",NA,NA,NA,NA
NA,NA,"AT2G20560","AT3G48020",NA,NA,NA,NA
NA,NA,"AT4G28480","AT3G26340",NA,NA,NA,NA
NA,NA,"AT5G59570","AT1G29330",NA,NA,NA,NA
NA,NA,"AT1G14540","AT5G11860",NA,NA,NA,NA
NA,NA,"AT1G62422","AT1G44130",NA,NA,NA,NA
NA,NA,"AT5G22630","AT5G44480",NA,NA,NA,NA
NA,NA,"AT1G72890","AT3G05500",NA,NA,NA,NA
NA,NA,"AT5G58110","AT5G63880",NA,NA,NA,NA
NA,NA,"AT4G35480","AT1G10410",NA,NA,NA,NA
NA,NA,"AT3G54100","AT5G51640",NA,NA,NA,NA
NA,NA,"AT4G05030","AT2G04400",NA,NA,NA,NA
NA,NA,"AT2G41160","AT5G62480",NA,NA,NA,NA
NA,NA,"AT5G61510","AT1G74350",NA,NA,NA,NA
NA,NA,"AT3G16510","AT5G58080",NA,NA,NA,NA
NA,NA,"AT1G53625","AT3G57380",NA,NA,NA,NA
NA,NA,"AT1G73020","AT3G06420",NA,NA,NA,NA
NA,NA,"AT3G13950","AT1G34420",NA,NA,NA,NA
NA,NA,"AT3G26470","AT4G23850",NA,NA,NA,NA
NA,NA,"AT4G19370","AT1G08920",NA,NA,NA,NA
NA,NA,"AT3G09020","AT1G28280",NA,NA,NA,NA
NA,NA,"AT1G02390","AT2G19690",NA,NA,NA,NA
NA,NA,"AT5G63850","AT1G03660",NA,NA,NA,NA
NA,NA,"AT5G66910","AT1G55230",NA,NA,NA,NA
NA,NA,"AT1G47890","AT1G04280",NA,NA,NA,NA
NA,NA,"AT4G31790","AT4G11655",NA,NA,NA,NA
NA,NA,"AT1G65250","AT2G38740",NA,NA,NA,NA
NA,NA,"AT5G25790","AT5G05730",NA,NA,NA,NA
NA,NA,"AT3G57460","AT2G43290",NA,NA,NA,NA
NA,NA,"AT5G65300","AT5G15870",NA,NA,NA,NA
NA,NA,"AT5G15480","AT2G20760",NA,NA,NA,NA
NA,NA,"AT5G39785","AT3G03160",NA,NA,NA,NA
NA,NA,"AT3G07195","AT3G46690",NA,NA,NA,NA
NA,NA,"AT5G22540","AT5G47200",NA,NA,NA,NA
NA,NA,"AT2G24285","AT1G23850",NA,NA,NA,NA
NA,NA,"AT1G67920","AT5G27520",NA,NA,NA,NA
NA,NA,"AT1G67800","AT5G01210",NA,NA,NA,NA
NA,NA,"AT1G68200","AT5G40730",NA,NA,NA,NA
NA,NA,"AT1G01680","AT3G10490",NA,NA,NA,NA
NA,NA,"AT1G30860","AT1G68620",NA,NA,NA,NA
NA,NA,"AT2G38860","AT5G40760",NA,NA,NA,NA
NA,NA,"AT4G23260","AT5G67600",NA,NA,NA,NA
NA,NA,"AT1G31280","AT5G14640",NA,NA,NA,NA
NA,NA,"AT1G22400","AT2G38000",NA,NA,NA,NA
NA,NA,"AT3G27560","AT1G61810",NA,NA,NA,NA
NA,NA,"AT1G02740","AT5G67310",NA,NA,NA,NA
NA,NA,"AT2G35930","AT4G39270",NA,NA,NA,NA
NA,NA,"AT1G12200","AT2G15760",NA,NA,NA,NA
NA,NA,"AT2G37970","AT1G30475",NA,NA,NA,NA
NA,NA,"AT4G16920","AT4G16500",NA,NA,NA,NA
NA,NA,"AT1G17615","AT5G47740",NA,NA,NA,NA
NA,NA,"AT5G12480","AT3G01720",NA,NA,NA,NA
NA,NA,"AT5G25260","AT1G16540",NA,NA,NA,NA
NA,NA,"AT5G24200","AT5G25910",NA,NA,NA,NA
NA,NA,"AT3G62260","AT3G13433",NA,NA,NA,NA
NA,NA,"AT5G45080","AT5G64990",NA,NA,NA,NA
NA,NA,"AT4G21850","AT1G78210",NA,NA,NA,NA
NA,NA,"AT2G11520","AT4G17660",NA,NA,NA,NA
NA,NA,"AT3G44350","AT5G38710",NA,NA,NA,NA
NA,NA,"AT3G60420","AT5G57150",NA,NA,NA,NA
NA,NA,"AT2G34500","AT4G39580",NA,NA,NA,NA
NA,NA,"AT5G12020","AT1G55080",NA,NA,NA,NA
NA,NA,"AT3G50140","AT1G70140",NA,NA,NA,NA
NA,NA,"AT2G20110","AT3G15430",NA,NA,NA,NA
NA,NA,"AT1G61370","AT3G15352",NA,NA,NA,NA
NA,NA,"AT2G25190","AT4G28390",NA,NA,NA,NA
NA,NA,"AT1G30070","AT3G20510",NA,NA,NA,NA
NA,NA,"AT5G25920","AT4G19040",NA,NA,NA,NA
NA,NA,"AT3G02770","AT5G11210",NA,NA,NA,NA
NA,NA,"AT3G12040","AT3G11340",NA,NA,NA,NA
NA,NA,"AT1G53620","AT2G41110",NA,NA,NA,NA
NA,NA,"AT5G22060","AT1G33050",NA,NA,NA,NA
NA,NA,"AT5G60270","AT3G55880",NA,NA,NA,NA
NA,NA,"AT2G29720","AT1G30320",NA,NA,NA,NA
NA,NA,"AT1G09932","AT4G34131",NA,NA,NA,NA
NA,NA,"AT3G22942","AT4G33910",NA,NA,NA,NA
NA,NA,"AT3G46080","AT1G02220",NA,NA,NA,NA
NA,NA,"AT1G27100","AT5G39050",NA,NA,NA,NA
NA,NA,"AT1G02450","AT3G56891",NA,NA,NA,NA
NA,NA,"AT3G60470","AT1G07870",NA,NA,NA,NA
NA,NA,"AT3G46510","AT5G20960",NA,NA,NA,NA
NA,NA,"AT5G13320","AT4G34200",NA,NA,NA,NA
NA,NA,"AT1G30270","AT3G04010",NA,NA,NA,NA
NA,NA,"AT3G08760","AT5G45900",NA,NA,NA,NA
NA,NA,"AT1G77810","AT4G39830",NA,NA,NA,NA
NA,NA,"AT3G61760","AT4G33420",NA,NA,NA,NA
NA,NA,"AT3G63420","AT3G13330",NA,NA,NA,NA
NA,NA,"AT5G02490","AT1G70480",NA,NA,NA,NA
NA,NA,"AT5G03490","AT5G40580",NA,NA,NA,NA
NA,NA,"AT3G19910","AT3G60110",NA,NA,NA,NA
NA,NA,"AT3G04580","AT2G35000",NA,NA,NA,NA
NA,NA,"AT5G47730","AT4G15280",NA,NA,NA,NA
NA,NA,"AT2G34580","AT2G17730",NA,NA,NA,NA
NA,NA,"AT2G20320","AT1G48850",NA,NA,NA,NA
NA,NA,"AT2G39480","AT2G17500",NA,NA,NA,NA
NA,NA,"AT1G50400","AT3G18560",NA,NA,NA,NA
NA,NA,"AT1G73130","AT1G26400",NA,NA,NA,NA
NA,NA,"AT3G13080","AT3G22620",NA,NA,NA,NA
NA,NA,"AT2G04305","AT3G10320",NA,NA,NA,NA
NA,NA,"AT1G79710","AT1G66570",NA,NA,NA,NA
NA,NA,"AT1G11905","AT1G77370",NA,NA,NA,NA
NA,NA,"AT5G47130","AT4G14630",NA,NA,NA,NA
NA,NA,"AT5G57060","AT5G64260",NA,NA,NA,NA
NA,NA,"AT3G27330","AT2G42360",NA,NA,NA,NA
NA,NA,"AT5G14310","AT1G30135",NA,NA,NA,NA
NA,NA,"AT3G19580","AT3G12230",NA,NA,NA,NA
NA,NA,"AT5G23490","AT1G12290",NA,NA,NA,NA
NA,NA,"AT4G09300","AT4G30270",NA,NA,NA,NA
NA,NA,"AT1G57560","AT2G02870",NA,NA,NA,NA
NA,NA,"AT5G03330","AT3G44860",NA,NA,NA,NA
NA,NA,"AT1G15800","AT3G05630",NA,NA,NA,NA
NA,NA,"AT2G30440","AT3G44300",NA,NA,NA,NA
NA,NA,"AT1G33800","AT5G44568",NA,NA,NA,NA
NA,NA,"AT1G09970","AT4G21680",NA,NA,NA,NA
NA,NA,"AT3G28450","AT1G15130",NA,NA,NA,NA
NA,NA,"AT3G07720","AT5G06760",NA,NA,NA,NA
NA,NA,"AT3G60690","AT3G03440",NA,NA,NA,NA
NA,NA,"AT2G21188","AT1G04200",NA,NA,NA,NA
NA,NA,"AT1G61640","AT4G18290",NA,NA,NA,NA
NA,NA,"AT1G68690","AT3G09270",NA,NA,NA,NA
NA,NA,"AT1G13180","AT1G80590",NA,NA,NA,NA
NA,NA,"AT5G18480","AT5G50760",NA,NA,NA,NA
NA,NA,"AT1G50740","AT1G70300",NA,NA,NA,NA
NA,NA,"AT2G01818","AT5G28237",NA,NA,NA,NA
NA,NA,"AT5G64530","AT2G27690",NA,NA,NA,NA
NA,NA,"AT4G29950","AT1G32380",NA,NA,NA,NA
NA,NA,"AT1G26390","AT3G60130",NA,NA,NA,NA
NA,NA,"AT3G07390","AT5G60630",NA,NA,NA,NA
NA,NA,"AT1G17290","AT2G45290",NA,NA,NA,NA
NA,NA,"AT4G21903","AT5G59530",NA,NA,NA,NA
NA,NA,"AT2G24850","AT5G06860",NA,NA,NA,NA
NA,NA,"AT3G14990","AT3G52770",NA,NA,NA,NA
NA,NA,"AT5G54780","AT1G02520",NA,NA,NA,NA
NA,NA,"AT5G46410","AT1G75450",NA,NA,NA,NA
NA,NA,"AT1G54090","AT5G17640",NA,NA,NA,NA
NA,NA,"AT5G18490","AT5G13330",NA,NA,NA,NA
NA,NA,"AT1G78570","AT3G59100",NA,NA,NA,NA
NA,NA,"AT5G07650","AT2G31730",NA,NA,NA,NA
NA,NA,"AT5G65920","AT5G14650",NA,NA,NA,NA
NA,NA,"AT3G15300","AT3G13130",NA,NA,NA,NA
NA,NA,"AT5G25450","AT3G52748",NA,NA,NA,NA
NA,NA,"AT5G48400","AT4G15890",NA,NA,NA,NA
NA,NA,"AT5G60790","AT4G24690",NA,NA,NA,NA
NA,NA,"AT5G45130","AT5G66170",NA,NA,NA,NA
NA,NA,"AT1G61140","AT5G06230",NA,NA,NA,NA
NA,NA,"AT5G66890","AT5G54160",NA,NA,NA,NA
NA,NA,"AT1G68440","AT2G47770",NA,NA,NA,NA
NA,NA,"AT2G03410","AT4G08290",NA,NA,NA,NA
NA,NA,"AT4G35180","AT1G61065",NA,NA,NA,NA
